SQLDATE,Partner,QuadClass
20260103,VEN,4
20260103,VEN,3
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,4
20260103,VEN,3
20260103,VEN,3
20260103,VEN,3
20260103,VEN,3
20260103,CUB,4
20260103,CUB,4
20260103,USA,3
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,USA,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,4
20260103,VEN,3
20260103,VEN,3
20260103,USA,4
20260103,VEN,3
20260103,VEN,4
20260103,VEN,4
20260103,USA,3
20260103,USA,3
20260103,VEN,3
20260103,VEN,3
20260103,USA,3
20260103,COL,3
20260103,CUB,3
20260103,EUR,3
20260103,USA,3
20260103,USA,3
20260103,VEN,4
20260103,USA,4
20260103,VEN,3
20260103,USA,3
20260103,USA,3
20260103,VEN,4
20260103,USA,3
20260103,USA,4
20260103,USA,4
20260103,VEN,3
20260103,USA,4
20260103,VEN,4
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,USA,3
20260104,VEN,3
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,VEN,4
20260104,VEN,4
20260104,VEN,3
20260104,VEN,4
20260104,VEN,3
20260104,VEN,3
20260104,VEN,4
20260104,VEN,4
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,VEN,3
20260104,USA,4
20260104,UKR,4
20260104,USA,3
20260104,VEN,3
20260104,VEN,3
20260104,USA,3
20260104,USA,3
20260104,VEN,3
20260104,USA,3
20260104,USA,3
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,VEN,4
20260104,PAK,4
20260104,PAK,4
20260104,VEN,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,USA,3
20260104,USA,3
20260104,VEN,4
20260104,ITA,4
20260104,USA,3
20260104,USA,4
20260104,VEN,4
20260104,USA,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,USA,3
20260104,USA,4
20260104,VEN,3
20260104,USA,3
20260104,USA,4
20260104,COL,3
20260104,USA,4
20260104,COL,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,VEN,3
20260104,USA,3
20260104,USA,4
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,VEN,3
20260104,VEN,3
20260103,TTO,4
20260103,USA,3
20260103,USA,4
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,USA,4
20260104,EUR,4
20260104,EUR,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,VEN,4
20260104,USA,3
20260104,USA,4
20260104,IRN,3
20260104,USA,3
20260104,USA,3
20260104,USA,4
20260104,VEN,3
20260104,VEN,3
20260104,NGA,3
20260104,NGA,3
20260104,VEN,4
20260104,VEN,4
20260104,VEN,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260104,VEN,3
20260104,VEN,4
20260104,USA,3
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,VEN,4
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,VEN,3
20260104,VEN,3
20260104,USA,4
20260104,USA,4
20260104,VEN,4
20260104,ISR,4
20260104,IRL,3
20260104,IRL,3
20260104,USA,4
20260104,VEN,3
20260104,VEN,3
20260104,MEX,4
20260104,VEN,3
20260104,VEN,3
20260104,MEX,4
20260104,USA,3
20260104,VEN,3
20260104,USA,4
20260104,USA,4
20260104,USA,3
20260104,USA,3
20260104,ESP,3
20260104,ESP,3
20260104,ESP,3
20260104,VEN,3
20260104,VEN,3
20260104,VEN,4
20260104,JPN,4
20260104,PHL,3
20260104,PHL,3
20260104,PHL,3
20260104,PHL,3
20260104,USA,4
20260104,USA,3
20260104,USA,4
20260104,VEN,4
20260104,VEN,4
20260104,VEN,4
20260104,USA,3
20260104,DNK,3
20260104,DNK,3
20260104,DNK,3
20260104,USA,4
20260104,VEN,3
20260104,USA,4
20260104,VEN,4
20260104,USA,4
20260104,USA,4
20260104,USA,4
20260104,COL,3
20260104,COL,3
20260104,COL,3
20260104,COL,3
20260104,CUB,3
20260104,CUB,3
20260104,CUB,3
20260104,CUB,3
20260104,DNK,3
20260104,DNK,3
20260104,MEX,3
20260104,MEX,3
20260104,MEX,3
20260104,MEX,3
20260104,IRN,3
20260104,IRN,3
20260104,IRN,3
20260104,IRN,4
20260104,IRN,4
20260104,ISR,3
20260104,DNK,3
20260104,DNK,3
20260104,DNK,3
20260104,GBR,3
20260104,USA,4
20260104,USA,3
20260104,USA,3
20260104,USA,3
20260105,DNK,3
20260105,DNK,3
20260105,DNK,3
20260105,MEX,3
20260105,MEX,3
20260105,PAK,3
20260105,VEN,4
20260105,VEN,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,DNK,3
20260105,DNK,3
20260105,DNK,3
20260105,DNK,3
20260105,USA,3
20260105,USA,4
20260105,GBR,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,USA,3
20260105,VEN,4
20260105,VEN,4
20260105,VEN,3
20260105,USA,3
20260105,USA,3
20260105,VEN,4
20260105,VEN,4
20260105,IRN,3
20260105,IRN,3
20260105,SOM,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,VEN,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,3
20260105,VEN,4
20260105,VEN,4
20260105,DNK,3
20260105,EUR,3
20260105,USA,3
20260105,IRN,4
20260105,IRN,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,VEN,4
20260105,VEN,3
20260105,BEL,4
20260105,BEL,4
20260105,BEL,4
20260105,RUS,3
20260105,RUS,3
20260105,USA,4
20260105,IRN,3
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,VEN,3
20260105,USA,4
20260105,USA,4
20260105,USA,3
20260105,VEN,3
20260105,VEN,3
20260105,VEN,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,USA,4
20260105,VEN,4
20260105,USA,4
20260105,USA,3
20260105,USA,3
20260105,VEN,4
20260105,VEN,4
20260105,IRN,3
20260105,IRN,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,DNK,3
20260105,DNK,3
20260105,COL,3
20260105,COL,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,COL,3
20260105,VEN,4
20260105,VEN,4
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,4
20260105,VEN,4
20260105,VEN,3
20260105,VEN,4
20260105,MEX,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,IRN,4
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,USA,4
20260105,VEN,3
20260105,VEN,4
20260105,DNK,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,EUR,4
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,VEN,4
20260105,COL,3
20260105,USA,3
20260105,VEN,3
20260105,USA,3
20260105,USA,3
20260105,YEM,4
20260105,COL,4
20260105,COL,4
20260105,USA,3
20260105,USA,3
20260105,COL,3
20260105,COL,3
20260105,VEN,4
20260105,SOM,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,GBR,3
20260105,GBR,4
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,VEN,3
20260105,VEN,4
20260105,VEN,4
20260105,USA,4
20260105,USA,4
20260105,VEN,4
20260105,VEN,4
20260105,VEN,4
20260105,USA,4
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,VEN,3
20260105,VEN,3
20260105,USA,3
20260105,USA,3
20260105,VEN,3
20260105,USA,3
20260105,USA,4
20260105,VEN,4
20260105,VEN,4
20260105,VEN,4
20260105,USA,3
20260105,USA,4
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,3
20260105,COL,3
20260105,COL,3
20260105,RUS,4
20260105,USA,3
20260105,USA,4
20260105,VEN,4
20260105,VEN,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,3
20260105,VEN,3
20260105,USA,3
20260105,USA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,4
20260105,USA,4
20260105,SOM,4
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,VEN,4
20260105,VEN,4
20260105,NGA,4
20260105,NGA,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,4
20260105,VEN,4
20260105,VEN,3
20260105,CUB,3
20260105,CUB,3
20260105,USA,3
20260105,USA,3
20260105,USA,4
20260105,CUB,3
20260105,CUB,3
20260105,USA,3
20260105,USA,4
20260105,VEN,3
20260105,USA,3
20260105,EUR,4
20260105,USA,4
20260105,VEN,3
20260105,VEN,3
20260105,IRN,3
20260105,CUB,3
20260105,CUB,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,USA,3
20260105,VEN,3
20260105,VEN,3
20260105,VEN,3
20260106,CUB,3
20260106,CUB,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,VEN,4
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,4
20260106,USA,4
20260106,DNK,4
20260106,DNK,4
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,VEN,3
20260106,VEN,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,4
20260106,VEN,4
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,4
20260106,VEN,4
20260106,DNK,4
20260106,DNK,4
20260106,USA,4
20260106,VEN,3
20260106,VEN,3
20260106,VEN,4
20260106,DNK,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,VEN,4
20260106,USA,3
20260106,USA,4
20260106,COL,3
20260106,CUB,3
20260106,USA,4
20260106,VEN,4
20260106,VEN,4
20260106,VEN,4
20260106,USA,3
20260106,USA,4
20260106,VEN,3
20260106,VEN,3
20260106,USA,3
20260106,EUR,3
20260106,EUR,3
20260106,USA,3
20260106,USA,3
20260106,COL,4
20260106,USA,4
20260106,DNK,3
20260106,USA,3
20260106,UKR,3
20260106,USA,4
20260106,USA,4
20260106,USA,4
20260106,COL,3
20260106,EUR,3
20260106,GRC,4
20260106,GRC,4
20260106,GRC,4
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,4
20260106,USA,4
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,VEN,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,DNK,4
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,DNK,3
20260106,DNK,3
20260106,USA,3
20260106,DNK,3
20260106,DNK,3
20260106,SOM,3
20260106,USA,3
20260106,USA,3
20260106,DNK,3
20260106,USA,3
20260106,VEN,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,CUB,3
20260106,USA,4
20260106,VEN,3
20260106,DNK,3
20260106,DNK,3
20260106,JPN,4
20260106,ARM,4
20260106,ARM,4
20260106,JPN,4
20260106,DNK,3
20260106,DNK,3
20260106,DNK,3
20260106,BRN,3
20260106,CHN,3
20260106,CHN,3
20260106,CUB,3
20260106,CUB,3
20260106,DNK,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,VEN,4
20260106,VEN,4
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,VEN,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,CUB,3
20260106,CUB,3
20260106,DNK,3
20260106,DNK,3
20260106,DNK,3
20260106,USA,3
20260106,USA,3
20260106,DNK,4
20260106,DNK,3
20260106,USA,4
20260106,VEN,4
20260106,CUB,3
20260106,CUB,3
20260106,USA,3
20260106,USA,4
20260106,USA,3
20260106,USA,4
20260106,USA,3
20260106,USA,3
20260106,IRN,4
20260106,IRN,4
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,VEN,4
20260106,USA,3
20260106,USA,3
20260106,COL,3
20260106,COL,3
20260106,CUB,3
20260106,CUB,3
20260106,IRN,3
20260106,IRN,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,3
20260106,VEN,4
20260106,VEN,4
20260106,VEN,4
20260106,VEN,4
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,VEN,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,VEN,3
20260106,USA,4
20260106,USA,4
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,USA,4
20260106,GRC,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,USA,3
20260106,VEN,3
20260106,USA,3
20260106,USA,3
20260106,USA,4
20260106,VEN,4
20260106,DNK,4
20260106,USA,3
20260106,VEN,3
20260106,USA,3
20260106,VEN,4
20260106,COL,3
20260106,CUB,3
20260106,IRN,3
20260106,USA,3
20260106,USA,4
20260106,VEN,4
20260106,VEN,4
20260107,DNK,3
20260107,DNK,3
20260107,USA,3
20260107,USA,3
20260107,VEN,3
20260107,VEN,4
20260107,DNK,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,FRA,3
20260107,FRA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,SOM,4
20260107,SOM,4
20260107,USA,4
20260107,USA,4
20260107,EUR,3
20260107,DNK,3
20260107,DNK,3
20260107,VEN,4
20260107,DNK,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,VEN,3
20260107,USA,3
20260107,USA,3
20260107,USA,4
20260107,DNK,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,COL,3
20260107,COL,3
20260107,COL,3
20260107,USA,4
20260107,USA,4
20260107,VEN,3
20260107,VEN,3
20260107,VEN,3
20260107,VEN,3
20260107,VEN,3
20260107,VEN,3
20260107,USA,3
20260107,VEN,3
20260107,USA,4
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,RUS,3
20260107,RUS,3
20260107,RUS,4
20260107,USA,4
20260107,VEN,3
20260107,VEN,3
20260107,CHN,4
20260107,CHN,4
20260107,CHN,4
20260107,CUB,4
20260107,CUB,4
20260107,CUB,4
20260107,IRN,4
20260107,IRN,4
20260107,RUS,4
20260107,RUS,4
20260107,RUS,4
20260107,RUS,3
20260107,VEN,3
20260107,USA,4
20260107,USA,4
20260107,USA,3
20260107,USA,4
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,4
20260107,USA,3
20260107,USA,3
20260107,VEN,3
20260107,VEN,3
20260107,USA,3
20260107,COL,3
20260107,DNK,3
20260107,DNK,3
20260107,DNK,3
20260107,GBR,3
20260107,GBR,3
20260107,USA,3
20260107,USA,4
20260107,USA,3
20260107,VEN,4
20260107,USA,4
20260107,AUS,3
20260107,AUS,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,DNK,3
20260107,DNK,3
20260107,DNK,4
20260107,USA,4
20260107,USA,3
20260107,DNK,3
20260107,DNK,3
20260107,USA,3
20260107,VEN,4
20260107,RUS,4
20260107,RUS,4
20260107,RUS,3
20260107,USA,3
20260107,USA,4
20260107,DEU,3
20260107,DEU,3
20260107,EUR,3
20260107,USA,3
20260107,USA,3
20260107,VEN,4
20260107,DNK,3
20260107,DNK,3
20260107,PAK,3
20260107,PAK,4
20260107,PAK,4
20260107,USA,3
20260107,USA,4
20260107,USA,4
20260107,ITA,3
20260107,USA,3
20260107,VEN,3
20260107,VEN,4
20260107,USA,3
20260107,USA,3
20260107,USA,4
20260107,USA,4
20260107,USA,4
20260107,VEN,3
20260107,VEN,4
20260107,VEN,4
20260107,VEN,4
20260107,VEN,4
20260107,VEN,3
20260107,DNK,3
20260107,DNK,3
20260107,USA,3
20260107,IRN,3
20260107,IRN,3
20260107,IRN,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,GBR,3
20260107,GBR,3
20260107,IRN,3
20260107,IRN,4
20260107,USA,3
20260107,DNK,3
20260107,DNK,3
20260107,USA,3
20260107,VEN,4
20260107,SOM,4
20260107,ISR,3
20260107,ISR,3
20260107,USA,3
20260107,VEN,3
20260107,VEN,3
20260107,GRC,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,VEN,4
20260107,DNK,3
20260107,DNK,3
20260107,USA,3
20260107,USA,4
20260107,USA,4
20260107,DNK,4
20260107,EUR,3
20260107,SYR,4
20260107,UKR,3
20260107,UKR,3
20260107,USA,4
20260107,CHN,3
20260107,CHN,3
20260107,DNK,3
20260107,DNK,3
20260107,EUR,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,VEN,3
20260107,VEN,3
20260107,GBR,3
20260107,GBR,3
20260107,USA,3
20260107,DNK,3
20260107,RUS,3
20260107,RUS,3
20260107,USA,3
20260107,USA,3
20260107,VEN,4
20260107,USA,3
20260107,USA,4
20260107,USA,4
20260107,VEN,4
20260107,WST,3
20260107,USA,3
20260107,USA,3
20260107,USA,3
20260107,USA,4
